日期(年),單位,電力消費_總計,電力消費_能源部門自用,電力消費_工業部門_合計,電力消費_工業部門_紡織成衣及服飾品製造業,電力消費_工業部門_紙漿紙及紙製品製造業,電力消費_工業部門_化學材料及肥料製造業,電力消費_工業部門_塑膠製品製造業,電力消費_工業部門_非金屬礦物製品製造業,電力消費_工業部門_基本金屬製造業,電力消費_工業部門_金屬製品製造業,電力消費_工業部門_電子產品及電力設備製造業,電力消費_工業部門_其他,電力消費_運輸部門_合計,電力消費_運輸部門_國內航空,電力消費_運輸部門_公路,電力消費_運輸部門_鐵路,電力消費_運輸部門_管線運輸,電力消費_運輸部門_國內水運,電力消費_運輸部門_其他,電力消費_農業部門,電力消費_服務業部門_合計,電力消費_服務業部門_批發及零售業,電力消費_服務業部門_運輸及倉儲業,電力消費_服務業部門_住宿及餐飲業,電力消費_服務業部門_出版影音及資通訊業,電力消費_服務業部門_金融及保險業,電力消費_服務業部門_不動產業,電力消費_服務業部門_專業科學及技術服務業,電力消費_服務業部門_支援服務業,電力消費_服務業部門_公共行政及國防,電力消費_服務業部門_教育業,電力消費_服務業部門_醫療保險及社會工作服務業,電力消費_服務業部門_藝術娛樂及休閒服務業,電力消費_服務業部門_其他,電力消費_住宅部門
2018,百萬度,266567.258655,19176.43351304,148970.01052511,6164.475779,3614.622836,32201.088384,5376.482295,5763.295539,19404.227669,6927.47285983,51118.48310664,18399.86205664,1518.3368,0,49.169578,1431.605045,37.562177,0,0,2961.15304665,47091.57947349,12411.92135174,2826.089004,7156.494869,3368.72197548,1887.405239,1511.96821843,1405.24924767,746.72478,3950.90670239,3423.85112977,3277.43678102,1258.783346,3866.02682899,46849.74529671
2019,百萬度,265722.80231378,19577.4123958,147718.92170497,5787.987991,3589.842623,31496.227231,5362.772167,5752.802088,18456.274356,6632.78352054,51742.3329852,18897.89874323,1579.822537,0,80.707472,1462.014163,37.100902,0,0,3045.79660511,46681.77888473,12067.39317532,3151.40589,7453.466416,3448.08634611,1787.085179,1270.71733032,1266.67985225,724.456045,4158.37367269,3387.41468215,3365.9138594,1345.349434,3255.43700249,47119.07018617
2020,百萬度,271235.74221786,19306.01849996,150875.84841461,4785.914439,3632.809014,31176.246206,5440.160421,5755.850842,18243.178375,6678.60696136,55674.35587347,19488.72628278,1580.56445904,0,102.274401,1447.391383,30.89867504,0,0,3274.42921979,46118.03054758,11427.44759755,3281.141001,7487.714579,3519.14192588,1572.603352,783.8663453,1002.03905233,701.93221,4465.3159873,3299.85594144,3430.80875443,1449.508793,3696.65500835,50080.85107688
2021,百萬度,283178.92910833,18817.66870787,161604.09657325,5240.395591,3720.572744,33549.839889,5776.095658,5820.43286619,19788.82931,7645.2419918,60072.55634196,19990.1321813,1534.19512039,0,134.582301,1370.195283,29.41753639,0,0,3308.04246922,45396.01433507,11122.58105644,3337.279904,6971.603052,3774.10259767,1498.8842,748.77031239,1009.20335788,724.177385,4394.11564808,3044.91078326,3440.32907858,1219.004046,4111.05291377,52518.91190253
2022,百萬度,279432.80726764,18968.22266687,157110.34089537,4725.49937711,3525.230207,30195.807132,5376.574831,5584.87094343,18152.708115,7061.57528175,62125.50566983,20362.56933825,1657.96445176,0,187.266069,1444.827084,25.87129876,0,0,3263.22655817,47595.41558434,11478.85612453,3409.849365,7503.109722,3910.37374228,1460.668213,734.73432569,1061.8919989,713.326138,4428.08388136,3207.4941941,3482.14440966,1444.398726,4760.48474382,50837.63711113
2023,百萬度,276519.12858022,18451.08002133,153001.21430375,3970.762364,3468.471723,28075.21287959,4519.87169375,5342.05238247,18225.80495366,5895.7624148,63242.42699202,20260.84890046,1856.26413607,0,272.061461,1556.887434,27.31524107,0,0,3277.35262801,48410.91936078,11785.4142908,3412.167172,7882.212434,3932.73024095,1478.52430614,716.81898955,1068.35674597,674.94888,4391.02183748,3325.51104251,3516.53681437,1478.850344,4747.82626301,51522.29813028
